,Latitude,Longitude,Neighbourhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
119,48.12684736842105,11.4737,124,8,Bus Stop,Supermarket,Ice Cream Shop,Bus Line,Bank,Doner Restaurant,Opera House,Palace,Outlet Store,Outdoors & Recreation
120,48.12684736842105,11.4886,125,0,Bus Stop,Supermarket,Greek Restaurant,Drugstore,Shop & Service,Home Service,Residential Building (Apartment / Condo),Tram Station,Plaza,Bakery
121,48.12684736842105,11.503499999999999,126,26,Bus Stop,Supermarket,Intersection,Laundromat,Gastropub,German Restaurant,Sushi Restaurant,Beer Garden,Greek Restaurant,Escape Room
122,48.12684736842105,11.5184,127,26,Hardware Store,Supermarket,Garden,Lounge,German Restaurant,Tram Station,Gym,Doner Restaurant,Lake,Greek Restaurant
123,48.12684736842105,11.5333,128,18,Bus Stop,German Restaurant,Music Venue,Café,Supermarket,Lounge,Rock Club,Nightclub,Gastropub,Steakhouse
124,48.12684736842105,11.5482,129,18,German Restaurant,Italian Restaurant,Café,Vietnamese Restaurant,Nightclub,Bakery,Supermarket,Grocery Store,Bistro,Outdoor Sculpture
125,48.12684736842105,11.5631,130,18,Café,Italian Restaurant,Bar,Ice Cream Shop,Vietnamese Restaurant,German Restaurant,Bavarian Restaurant,Restaurant,Asian Restaurant,Plaza
126,48.12684736842105,11.578,131,18,Café,German Restaurant,Bar,Italian Restaurant,Hotel,Plaza,Cocktail Bar,Coffee Shop,Ice Cream Shop,French Restaurant
127,48.12684736842105,11.5929,132,18,Italian Restaurant,Bakery,Plaza,Ice Cream Shop,French Restaurant,German Restaurant,Café,Bar,Supermarket,Hotel
128,48.12684736842105,11.607800000000001,133,18,Hotel,German Restaurant,Café,Plaza,Spanish Restaurant,Vegetarian / Vegan Restaurant,Supermarket,Thai Restaurant,Gym / Fitness Center,Bar
129,48.12684736842105,11.6227,134,26,Supermarket,Italian Restaurant,Doner Restaurant,Asian Restaurant,Bakery,Hotel,Pizza Place,Drugstore,Bus Stop,Gastropub
130,48.12684736842105,11.6376,135,3,Supermarket,Tram Station,Bakery,Asian Restaurant,Eastern European Restaurant,Home Service,Bank,Park,Athletics & Sports,Hotel
131,48.12684736842105,11.6525,136,8,Supermarket,Metro Station,Accessories Store,Bakery,Drugstore,Storage Facility,Home Service,Tram Station,Outdoors & Recreation,Outdoor Supply Store
132,48.12684736842105,11.6674,137,26,Supermarket,German Restaurant,Bakery,Ice Cream Shop,Trattoria/Osteria,Furniture / Home Store,Garden Center,Motel,Café,Fast Food Restaurant
133,48.12684736842105,11.6823,138,27,Garden Center,Italian Restaurant,Department Store,Doner Restaurant,Park,German Restaurant,ATM,Optical Shop,Palace,Outlet Store
134,48.12684736842105,11.6972,139,3,Clothing Store,Drugstore,Furniture / Home Store,Café,Shoe Store,Mobile Phone Shop,Shopping Mall,Bookstore,Supermarket,Sushi Restaurant
135,48.134205263157895,11.4141,140,27,Furniture / Home Store,Motel,Recreation Center,Steakhouse,Playground,Bistro,Climbing Gym,ATM,Office,Outlet Store
136,48.134205263157895,11.429,141,26,Light Rail Station,BBQ Joint,Italian Restaurant,Supermarket,Big Box Store,Climbing Gym,German Restaurant,ATM,Optical Shop,Palace
137,48.134205263157895,11.4439,142,0,Park,Bakery,Bus Stop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
138,48.134205263157895,11.4588,143,19,Bus Stop,Park,Ice Cream Shop,Hotel,Mobile Phone Shop,German Restaurant,Playground,Bakery,Poke Place,Office
139,48.134205263157895,11.4737,144,19,Bus Stop,Park,Stables,Garden,Playground,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
140,48.134205263157895,11.4886,145,0,Supermarket,Bakery,Greek Restaurant,Drugstore,Bus Stop,Plaza,Shop & Service,Home Service,Tram Station,Optical Shop
141,48.134205263157895,11.503499999999999,146,26,Supermarket,Bank,Gastropub,Plaza,Greek Restaurant,Pastry Shop,Fried Chicken Joint,Tanning Salon,Sushi Restaurant,Mobile Phone Shop
142,48.134205263157895,11.5184,147,26,Supermarket,Bank,Tram Station,Hotel,Nightclub,Thai Restaurant,Caucasian Restaurant,Greek Restaurant,Sushi Restaurant,Hardware Store
143,48.134205263157895,11.5333,148,18,Café,Hotel,Italian Restaurant,Music Venue,Ice Cream Shop,Asian Restaurant,Doner Restaurant,Pizza Place,German Restaurant,Bus Stop
144,48.134205263157895,11.5482,149,18,Hotel,Café,German Restaurant,Italian Restaurant,Bavarian Restaurant,Asian Restaurant,Turkish Restaurant,Middle Eastern Restaurant,Pizza Place,Restaurant
145,48.134205263157895,11.5631,150,18,Hotel,Café,German Restaurant,Cocktail Bar,Italian Restaurant,Afghan Restaurant,Indie Movie Theater,Bar,Ice Cream Shop,Camera Store
146,48.134205263157895,11.578,151,18,Café,Bavarian Restaurant,Coffee Shop,Plaza,Cocktail Bar,Hotel,Italian Restaurant,German Restaurant,Steakhouse,Sporting Goods Shop
147,48.134205263157895,11.5929,152,18,Italian Restaurant,Plaza,Bakery,French Restaurant,German Restaurant,Café,Ice Cream Shop,Beer Garden,Bar,Burger Joint
148,48.134205263157895,11.607800000000001,153,18,Italian Restaurant,Plaza,German Restaurant,Supermarket,Hotel,Bakery,Indian Restaurant,Café,Portuguese Restaurant,Tram Station
149,48.134205263157895,11.6227,154,26,Supermarket,Italian Restaurant,Hotel,Drugstore,Doner Restaurant,Gym / Fitness Center,Tram Station,Shopping Mall,Chinese Restaurant,Grocery Store
150,48.134205263157895,11.6376,155,26,Bus Stop,Cafeteria,Drugstore,Tram Station,Light Rail Station,Park,Business Service,Eastern European Restaurant,Motorcycle Shop,Hotel
151,48.134205263157895,11.6525,156,6,Hotel,Bus Stop,Hardware Store,Greek Restaurant,Business Service,Flower Shop,Paper / Office Supplies Store,Italian Restaurant,Accessories Store,Noodle House
152,48.134205263157895,11.6674,157,28,Bus Stop,Hotel,Shopping Mall,Taverna,Metro Station,Coffee Shop,Auto Garage,Trattoria/Osteria,Paper / Office Supplies Store,Thai Restaurant
153,48.134205263157895,11.6823,158,18,Hotel,Italian Restaurant,Café,Plaza,Clothing Store,Ice Cream Shop,Shoe Store,Bar,Perfume Shop,Performing Arts Venue
154,48.134205263157895,11.6972,159,18,Clothing Store,Café,Hotel,Italian Restaurant,Plaza,Bus Stop,Shoe Store,Drugstore,Mobile Phone Shop,Metro Station
155,48.14156315789474,11.4141,160,26,Supermarket,Steakhouse,Sandwich Place,German Restaurant,Drugstore,Climbing Gym,Pet Store,Bistro,Ice Cream Shop,Motel
156,48.14156315789474,11.429,161,26,Supermarket,Sporting Goods Shop,Pizza Place,Hardware Store,Sandwich Place,Automotive Shop,Big Box Store,Pide Place,Italian Restaurant,Newsstand
157,48.14156315789474,11.4439,162,26,Drugstore,Hotel,Automotive Shop,Italian Restaurant,Supermarket,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outlet Store
158,48.14156315789474,11.4588,163,18,German Restaurant,Bus Stop,Ice Cream Shop,Hotel,Park,Bank,Bakery,Organic Grocery,Drugstore,Gym / Fitness Center
159,48.14156315789474,11.4737,164,27,Skating Rink,German Restaurant,Tram Station,Fast Food Restaurant,Bus Stop,Automotive Shop,Pet Store,Liquor Store,Gym,Pizza Place
160,48.14156315789474,11.4886,165,26,Supermarket,Tram Station,Italian Restaurant,Plaza,Bakery,Hostel,Park,Greek Restaurant,Storage Facility,Drugstore
161,48.14156315789474,11.503499999999999,166,3,Supermarket,Bakery,Bank,Italian Restaurant,Doner Restaurant,Drugstore,Tram Station,Park,Ice Cream Shop,Organic Grocery
