,Latitude,Longitude,Neighbourhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
238,48.170994736842104,11.4588,243,28,Hotel,German Restaurant,Park,Soccer Field,Gastropub,Beer Garden,Greek Restaurant,Fried Chicken Joint,Bakery,Breakfast Spot
239,48.170994736842104,11.4737,244,26,Bakery,Italian Restaurant,Light Rail Station,Athletics & Sports,Supermarket,Park,Newsstand,Organic Grocery,Paper / Office Supplies Store,Music School
240,48.170994736842104,11.4886,245,26,Italian Restaurant,Athletics & Sports,Bus Stop,Palace,Light Rail Station,Bakery,Organic Grocery,Supermarket,German Restaurant,Vegetarian / Vegan Restaurant
241,48.170994736842104,11.503499999999999,246,19,Bus Stop,Park,Gym,Hostel,Tram Station,Trattoria/Osteria,Beer Garden,Opera House,Outlet Store,Outdoors & Recreation
242,48.170994736842104,11.5184,247,30,German Restaurant,Furniture / Home Store,Restaurant,Bus Stop,Supermarket,Café,Theater,Tram Station,Trattoria/Osteria,Park
243,48.170994736842104,11.5333,248,18,Café,German Restaurant,Trattoria/Osteria,Pool,Supermarket,Hotel,Tram Station,Soccer Field,Taverna,Flea Market
244,48.170994736842104,11.5482,249,27,Concert Hall,Restaurant,Stadium,Beer Garden,Scenic Lookout,Event Space,Hill,German Restaurant,General Entertainment,Athletics & Sports
245,48.170994736842104,11.5631,250,27,Restaurant,Italian Restaurant,Park,Pizza Place,German Restaurant,Beer Garden,Trail,Hockey Arena,Bank,Taverna
246,48.170994736842104,11.578,251,18,Hotel,Vietnamese Restaurant,Italian Restaurant,Supermarket,Plaza,Drugstore,Restaurant,Park,Café,Bus Stop
247,48.170994736842104,11.5929,252,28,Hotel,Restaurant,Bakery,Supermarket,Café,Spa,Soccer Field,German Restaurant,Vietnamese Restaurant,Farmers Market
248,48.170994736842104,11.607800000000001,253,27,Park,Indie Theater,Track,Health & Beauty Service,Athletics & Sports,Beer Garden,Stadium,Nature Preserve,Organic Grocery,Palace
249,48.170994736842104,11.6227,254,28,Bakery,Theater,Gas Station,Hotel,Bus Stop,German Restaurant,Bar,ATM,Optical Shop,Palace
250,48.170994736842104,11.6376,255,26,Tram Station,Supermarket,Hotel,Ice Cream Shop,Bus Stop,Bowling Alley,German Restaurant,Greek Restaurant,Gym / Fitness Center,Bar
251,48.170994736842104,11.6525,256,28,Astrologer,Wine Shop,Light Rail Station,Hotel,Concert Hall,Bus Stop,Restaurant,German Restaurant,Optical Shop,Paper / Office Supplies Store
252,48.170994736842104,11.6674,257,25,Farmers Market,Bus Stop,ATM,Public Bathroom,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
253,48.170994736842104,11.6823,258,11,Dog Run,ATM,Pastry Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
254,48.178352631578946,11.4141,260,30,Lottery Retailer,Juice Bar,Light Rail Station,Pharmacy,German Restaurant,Bus Stop,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
255,48.178352631578946,11.429,261,4,Brewery,Intersection,Playground,Juice Bar,ATM,Opera House,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
256,48.178352631578946,11.4439,262,19,Castle,Bus Stop,Campground,Garden Center,Rest Area,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
257,48.178352631578946,11.4588,263,28,Breakfast Spot,Beer Garden,Italian Restaurant,Hotel,Soccer Field,Gastropub,Business Service,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
258,48.178352631578946,11.4737,264,8,Bus Stop,Supermarket,Soccer Field,Light Rail Station,Gastropub,Bakery,Newsstand,Nightclub,Palace,Outlet Store
259,48.178352631578946,11.4886,265,19,Bus Stop,Turkish Restaurant,Hardware Store,Gym / Fitness Center,Bakery,Italian Restaurant,German Restaurant,Supermarket,Athletics & Sports,Doner Restaurant
260,48.178352631578946,11.503499999999999,266,3,Supermarket,Bakery,Drugstore,Bus Stop,Hotel,Sandwich Place,Big Box Store,Motel,German Restaurant,Asian Restaurant
261,48.178352631578946,11.5184,267,3,Bakery,Supermarket,Ice Cream Shop,Food,Gym,Metro Station,Fast Food Restaurant,Drugstore,Trattoria/Osteria,German Restaurant
262,48.178352631578946,11.5333,268,3,Supermarket,Café,Bakery,Drugstore,Electronics Store,Fast Food Restaurant,Clothing Store,Asian Restaurant,Gym / Fitness Center,Greek Restaurant
263,48.178352631578946,11.5482,269,27,Museum,Restaurant,Concert Hall,Stadium,Sandwich Place,Convenience Store,Metro Station,Falafel Restaurant,Theater,Mini Golf
264,48.178352631578946,11.5631,270,27,Greek Restaurant,Museum,Plaza,Italian Restaurant,Pizza Place,Rental Car Location,Gift Shop,Tram Station,Moving Target,Soccer Field
265,48.178352631578946,11.578,271,26,Gastropub,Bus Stop,Italian Restaurant,Supermarket,Track,German Restaurant,Café,Greek Restaurant,Beer Garden,Park
266,48.178352631578946,11.5929,272,28,Hotel,Italian Restaurant,Café,Restaurant,Bank,Spa,Bakery,Lounge,Supermarket,Bistro
267,48.178352631578946,11.607800000000001,273,27,Indie Theater,Athletics & Sports,Breakfast Spot,Café,Metro Station,Beer Garden,Shipping Store,Gym / Fitness Center,Park,Bank
268,48.178352631578946,11.6227,274,28,Hotel,Soccer Field,Office,German Restaurant,Athletics & Sports,Drugstore,Restaurant,Bus Stop,Park,Shoe Store
269,48.178352631578946,11.6376,275,3,Bus Stop,Supermarket,Soccer Field,Bakery,Hotel,Restaurant,Greek Restaurant,Clothing Store,Coffee Shop,Bar
270,48.178352631578946,11.6525,276,0,Bus Stop,Concert Hall,Bakery,ATM,Park,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
271,48.178352631578946,11.6972,279,22,Golf Course,Construction & Landscaping,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
272,48.18571052631579,11.4141,280,5,Business Service,ATM,RV Park,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
273,48.18571052631579,11.429,281,27,Athletics & Sports,Sporting Goods Shop,Intersection,Lake,Caucasian Restaurant,ATM,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
274,48.18571052631579,11.4439,282,30,Dog Run,Furniture / Home Store,Lake,Castle,Bus Stop,ATM,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
275,48.18571052631579,11.4588,283,28,Sporting Goods Shop,Hotel,Bus Stop,German Restaurant,Shopping Mall,Park,Italian Restaurant,Bakery,Poke Place,Post Office
276,48.18571052631579,11.4737,284,3,Supermarket,Shopping Mall,Sporting Goods Shop,Forest,Bakery,Gym,Hotel,Bus Stop,Pharmacy,Trattoria/Osteria
277,48.18571052631579,11.4886,285,25,Bus Stop,Turkish Restaurant,Forest,Bakery,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
278,48.18571052631579,11.503499999999999,286,3,Bakery,Supermarket,Bus Stop,Hotel,Sandwich Place,Drugstore,Soccer Field,Motel,Food,Fast Food Restaurant
279,48.18571052631579,11.5184,287,3,Bakery,Supermarket,Ice Cream Shop,Trattoria/Osteria,Gym,Lottery Retailer,Metro Station,Drugstore,Fast Food Restaurant,German Restaurant
280,48.18571052631579,11.5333,288,3,Supermarket,Fast Food Restaurant,Electronics Store,Clothing Store,Drugstore,Bank,Falafel Restaurant,Thai Restaurant,Sauna / Steam Room,Beer Store
281,48.18571052631579,11.5482,289,28,Hotel,Bus Stop,Restaurant,Boarding House,Supermarket,Home Service,Greek Restaurant,Food & Drink Shop,Fast Food Restaurant,Hotel Bar
282,48.18571052631579,11.5631,290,3,Doner Restaurant,Drugstore,Bakery,Café,Plaza,Supermarket,Greek Restaurant,Bus Stop,Ice Cream Shop,Motorcycle Shop
283,48.18571052631579,11.578,291,3,Bakery,Italian Restaurant,Hotel,Bus Stop,Clothing Store,Burger Joint,Café,Gastropub,German Restaurant,Thai Restaurant
284,48.18571052631579,11.5929,292,28,Hotel,Italian Restaurant,Clothing Store,Restaurant,Furniture / Home Store,Supermarket,Park,Bakery,Asian Restaurant,Bus Stop
285,48.18571052631579,11.607800000000001,293,28,Fast Food Restaurant,Breakfast Spot,Tennis Court,Bakery,Shipping Store,Stadium,Hotel,Beach,Greek Restaurant,Metro Station
286,48.18571052631579,11.6227,294,27,Fast Food Restaurant,Tennis Court,Park,Stadium,Chinese Restaurant,Soccer Field,Beach,Greek Restaurant,Beer Garden,ATM
287,48.18571052631579,11.6376,295,0,Supermarket,Bus Stop,Restaurant,Asian Restaurant,Beach,Liquor Store,Wine Shop,Bakery,Greek Restaurant,Hotel
288,48.18571052631579,11.6525,296,0,Bus Stop,Insurance Office,Cafeteria,Mediterranean Restaurant,Bakery,Bed & Breakfast,Light Rail Station,Supermarket,Thai Restaurant,Asian Restaurant
289,48.18571052631579,11.6674,297,24,Trail,Gastropub,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
290,48.18571052631579,11.6823,298,24,Trail,ATM,Park,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
291,48.18571052631579,11.6972,299,22,Construction & Landscaping,Golf Course,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
292,48.19306842105263,11.4141,300,20,Hotel,Lake,Gastropub,Mini Golf,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
293,48.19306842105263,11.429,301,29,Botanical Garden,RV Park,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
294,48.19306842105263,11.4439,302,25,Dog Run,Bus Stop,ATM,Park,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
295,48.19306842105263,11.4588,303,3,Trattoria/Osteria,Hotel,Bakery,Drugstore,Supermarket,Bavarian Restaurant,Sporting Goods Shop,Light Rail Station,Italian Restaurant,Tennis Court
296,48.19306842105263,11.4737,304,3,Drugstore,Sporting Goods Shop,Shopping Mall,Forest,Hotel,Food & Drink Shop,Supermarket,Trattoria/Osteria,Outdoor Supply Store,Outdoor Sculpture
297,48.19306842105263,11.4886,305,19,Bus Stop,Nature Preserve,Train Station,Outdoor Supply Store,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Sculpture,Organic Grocery
298,48.19306842105263,11.503499999999999,306,8,Supermarket,Pet Store,Garden Center,Soccer Field,Fast Food Restaurant,Automotive Shop,Train Station,Auto Garage,ATM,Outdoors & Recreation
299,48.19306842105263,11.5184,307,8,Bus Stop,Indian Restaurant,Light Rail Station,Supermarket,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
300,48.19306842105263,11.5333,308,28,Outlet Store,Hotel,Automotive Shop,Lake,Trattoria/Osteria,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outdoors & Recreation
301,48.19306842105263,11.5482,309,28,Bus Stop,Hotel,Cosmetics Shop,Trattoria/Osteria,Bistro,Boarding House,Food & Drink Shop,IT Services,Bus Line,Hardware Store
302,48.19306842105263,11.5631,310,3,Ice Cream Shop,Doner Restaurant,Bakery,Automotive Shop,Pet Store,Eastern European Restaurant,Café,Drugstore,Thai Restaurant,Supermarket
303,48.19306842105263,11.578,311,0,Bus Stop,Metro Station,Italian Restaurant,Bakery,Clothing Store,Trattoria/Osteria,Shopping Mall,Thai Restaurant,Fast Food Restaurant,Lounge
304,48.19306842105263,11.5929,312,3,Big Box Store,Bus Stop,Electronics Store,Asian Restaurant,Mediterranean Restaurant,Gym / Fitness Center,Paper / Office Supplies Store,Fast Food Restaurant,Mobile Phone Shop,Sandwich Place
305,48.19306842105263,11.607800000000001,313,3,Fast Food Restaurant,Music Venue,Hotel,Big Box Store,Greek Restaurant,Asian Restaurant,Video Game Store,Concert Hall,Metro Station,Shoe Store
306,48.19306842105263,11.6227,314,3,Fast Food Restaurant,Doner Restaurant,Chinese Restaurant,Train Station,Metro Station,Comedy Club,Supermarket,ATM,Palace,Outlet Store
307,48.19306842105263,11.6376,315,26,Italian Restaurant,Supermarket,Bus Stop,Bakery,Beach,Skate Park,German Restaurant,Thai Restaurant,Paper / Office Supplies Store,Hotel
308,48.19306842105263,11.6525,316,19,Bus Stop,German Restaurant,Thai Restaurant,Bakery,Mediterranean Restaurant,Gym,Café,Cafeteria,Office,Paper / Office Supplies Store
309,48.19306842105263,11.6674,317,27,Beer Garden,German Restaurant,Gastropub,Lake,Nudist Beach,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
310,48.19306842105263,11.6823,318,27,Beer Garden,Bath House,Gastropub,Trail,German Restaurant,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
311,48.20042631578947,11.4141,320,20,Lake,Hotel,Gastropub,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
312,48.20042631578947,11.429,321,1,Fried Chicken Joint,German Restaurant,Playground,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop,Opera House
313,48.20042631578947,11.4439,322,19,Park,Tunnel,Bus Stop,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
314,48.20042631578947,11.4588,323,28,Bavarian Restaurant,Bakery,Tennis Court,Hotel,Supermarket,Trattoria/Osteria,ATM,Opera House,Outdoors & Recreation,Outdoor Supply Store
315,48.20042631578947,11.4737,324,27,Furniture / Home Store,Forest,Train Station,ATM,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
316,48.20042631578947,11.4886,325,28,Hotel,Automotive Shop,Hostel,Lake,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
317,48.20042631578947,11.503499999999999,326,28,American Restaurant,Health & Beauty Service,Hotel,Hostel,Bus Stop,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outlet Store
318,48.20042631578947,11.5184,327,8,Indian Restaurant,Lottery Retailer,American Restaurant,Light Rail Station,Bus Stop,Supermarket,Lake,ATM,Organic Grocery,Paper / Office Supplies Store
319,48.20042631578947,11.5333,328,8,Supermarket,Bus Stop,Drugstore,Lake,Indian Restaurant,Trattoria/Osteria,Electronics Store,Light Rail Station,Liquor Store,Planetarium
320,48.20042631578947,11.5482,329,8,Bus Stop,Supermarket,Tennis Court,Café,Bus Line,Drugstore,Trattoria/Osteria,ATM,Optical Shop,Outdoors & Recreation
321,48.20042631578947,11.5631,330,0,Bakery,Metro Station,Tennis Court,Food & Drink Shop,Bus Stop,Supermarket,Greek Restaurant,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
322,48.20042631578947,11.578,331,0,Bus Stop,Gym / Fitness Center,German Restaurant,Bakery,Lounge,Concert Hall,Metro Station,Mexican Restaurant,Paper / Office Supplies Store,Palace
323,48.20042631578947,11.5929,332,0,Bus Stop,Supermarket,Gym / Fitness Center,Rental Car Location,Ice Cream Shop,Bakery,Liquor Store,Mediterranean Restaurant,Organic Grocery,Pet Store
324,48.20042631578947,11.607800000000001,333,26,Greek Restaurant,Pub,German Restaurant,Music Venue,Soccer Field,Concert Hall,Hotel,Food & Drink Shop,Supermarket,Outdoors & Recreation
325,48.20042631578947,11.6227,334,26,Pub,Intersection,Outdoor Sculpture,Soccer Field,Snack Place,Supermarket,Doner Restaurant,Opera House,Outlet Store,Outdoors & Recreation
326,48.20042631578947,11.6376,335,20,Lake,Hotel,Soccer Field,Italian Restaurant,German Restaurant,ATM,Opera House,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
327,48.20042631578947,11.6525,336,0,Bakery,German Restaurant,Lake,Nature Preserve,Soccer Field,Bus Stop,Supermarket,Auto Dealership,Outlet Store,Outdoors & Recreation
328,48.20042631578947,11.6674,337,27,General Entertainment,Nature Preserve,Lake,Rock Climbing Spot,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
329,48.20042631578947,11.6823,338,9,Farm,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
330,48.20042631578947,11.6972,339,1,Stables,German Restaurant,ATM,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
331,48.20778421052631,11.4141,340,22,Golf Course,Sushi Restaurant,Insurance Office,Lake,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
332,48.20778421052631,11.429,341,27,General Entertainment,Stables,Fried Chicken Joint,Moving Target,Museum,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
333,48.20778421052631,11.4439,342,27,Park,Health & Beauty Service,Soccer Field,Beer Garden,Tunnel,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
334,48.20778421052631,11.4588,343,8,Supermarket,Light Rail Station,Hotel,Tunnel,Bus Stop,Nature Preserve,Opera House,Palace,Outlet Store,Outdoors & Recreation
335,48.20778421052631,11.4737,344,0,Forest,Supermarket,Bakery,Bus Stop,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
336,48.20778421052631,11.4886,345,19,Bus Stop,Intersection,Automotive Shop,Food,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
337,48.20778421052631,11.503499999999999,346,19,Bus Stop,Insurance Office,Auto Garage,ATM,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
338,48.20778421052631,11.5184,347,16,Italian Restaurant,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
339,48.20778421052631,11.5333,348,18,Café,Italian Restaurant,Plaza,Bus Stop,ATM,Optical Shop,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
340,48.20778421052631,11.5482,349,8,Bus Stop,Drugstore,Supermarket,Italian Restaurant,Bus Line,Gym Pool,Noodle House,Nightclub,Paper / Office Supplies Store,Palace
341,48.20778421052631,11.5631,350,8,Supermarket,Bus Stop,Falafel Restaurant,Clothing Store,Furniture / Home Store,Burger Joint,Gas Station,Food & Drink Shop,Greek Restaurant,Shipping Store
342,48.20778421052631,11.578,351,25,Bus Stop,Shipping Store,Furniture / Home Store,Rental Car Location,Metro Station,ATM,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
343,48.20778421052631,11.5929,352,3,Supermarket,Bus Stop,Ice Cream Shop,Rental Car Location,Pet Store,Trattoria/Osteria,Gym / Fitness Center,Pizza Place,Organic Grocery,Bakery
344,48.20778421052631,11.607800000000001,353,26,Supermarket,Greek Restaurant,Ice Cream Shop,Hotel,Bus Stop,Soccer Field,German Restaurant,Pub,Italian Restaurant,Park
345,48.20778421052631,11.6227,354,27,Snack Place,Pub,Intersection,Convenience Store,Soccer Field,Outdoor Sculpture,Bus Station,Metro Station,Train Station,Beer Garden
346,48.20778421052631,11.6376,355,10,Park,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
347,48.20778421052631,11.6525,356,19,IT Services,Gym,Soccer Field,Cafeteria,Bus Stop,ATM,Opera House,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
348,48.20778421052631,11.6674,357,19,Bus Stop,IT Services,Gym,Cafeteria,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
349,48.20778421052631,11.6823,358,10,Park,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
350,48.20778421052631,11.6972,359,17,Stables,Rest Area,ATM,Nudist Beach,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
351,48.215142105263155,11.4141,360,22,Golf Course,Insurance Office,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
352,48.215142105263155,11.429,361,27,General Entertainment,Stables,ATM,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop,Opera House
353,48.215142105263155,11.4439,362,21,Music Store,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
354,48.215142105263155,11.4588,363,8,Light Rail Station,Supermarket,Lottery Retailer,Bus Stop,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
355,48.215142105263155,11.4737,364,30,Lottery Retailer,German Restaurant,Furniture / Home Store,Bus Stop,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
356,48.215142105263155,11.4886,365,25,Bus Stop,Lottery Retailer,Intersection,Food,Home Service,Optical Shop,Park,Paper / Office Supplies Store,Palace,Outlet Store
357,48.215142105263155,11.503499999999999,366,18,BBQ Joint,Insurance Office,Bus Line,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
358,48.215142105263155,11.5184,367,27,Motorcycle Shop,BBQ Joint,Auto Workshop,Greek Restaurant,German Restaurant,Lake,ATM,Organic Grocery,Palace,Outlet Store
359,48.215142105263155,11.5333,368,0,Bus Stop,Bakery,Café,Ice Cream Shop,Plaza,Light Rail Station,Greek Restaurant,German Restaurant,Supermarket,Bus Line
360,48.215142105263155,11.5482,369,0,Supermarket,Bus Stop,Bakery,Ice Cream Shop,Farmers Market,Italian Restaurant,Bus Line,Plaza,Gastropub,Metro Station
361,48.215142105263155,11.5631,370,8,Supermarket,Pharmacy,Plaza,Fast Food Restaurant,Clothing Store,Drugstore,Thai Restaurant,Bus Stop,Falafel Restaurant,Burger Joint
362,48.215142105263155,11.578,371,19,Bus Stop,Gift Shop,Athletics & Sports,Business Service,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
363,48.215142105263155,11.5929,372,19,Sports Club,Soccer Field,Bus Stop,Road,ATM,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
364,48.215142105263155,11.607800000000001,373,27,Bakery,Soccer Stadium,Train Station,German Restaurant,Music Store,Opera House,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
365,48.215142105263155,11.6227,374,27,Lounge,Soccer Stadium,Beer Garden,Hill,Café,Train Station,Metro Station,Restaurant,Sports Club,Sports Bar
366,48.215142105263155,11.6376,375,19,Bus Stop,Outlet Store,Hill,Outdoor Sculpture,Ski Area,ATM,Palace,Outdoors & Recreation,Outdoor Supply Store,Organic Grocery
367,48.215142105263155,11.6525,376,2,Furniture / Home Store,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
368,48.215142105263155,11.6674,377,0,Bus Stop,Bus Line,Café,Supermarket,Bakery,IT Services,Newsstand,Organic Grocery,Paper / Office Supplies Store,Palace
369,48.215142105263155,11.6823,378,4,Café,Playground,Park,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
370,48.2225,11.4141,380,27,Tennis Court,Flower Shop,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
371,48.2225,11.429,381,27,Taverna,Lake,Fish Market,Gourmet Shop,ATM,Opera House,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
372,48.2225,11.4439,382,20,Lake,German Restaurant,ATM,Park,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
373,48.2225,11.4588,383,3,Supermarket,Coffee Shop,Shoe Store,Café,Italian Restaurant,Food,Drugstore,Pharmacy,Clothing Store,Fast Food Restaurant
374,48.2225,11.4737,384,3,Bakery,Supermarket,Ice Cream Shop,Pharmacy,Pet Store,Electronics Store,Shoe Store,Shopping Mall,Food,Furniture / Home Store
375,48.2225,11.4886,385,18,Racetrack,Italian Restaurant,Miscellaneous Shop,Lottery Retailer,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
376,48.2225,11.503499999999999,386,14,Bus Line,RV Park,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
377,48.2225,11.5184,387,0,Cocktail Bar,Motorcycle Shop,Auto Workshop,Greek Restaurant,Bus Stop,ATM,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
378,48.2225,11.5333,388,19,Intersection,Café,Bus Stop,Cocktail Bar,ATM,Organic Grocery,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
379,48.2225,11.5482,389,27,Beer Garden,Intersection,Gastropub,Dog Run,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
380,48.2225,11.5631,390,26,Bar,Recreation Center,Plaza,Supermarket,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
381,48.2225,11.578,391,27,Gift Shop,Forest,Trail,ATM,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
382,48.2225,11.5929,392,6,Hotel,Road,ATM,Opera House,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
383,48.2225,11.607800000000001,393,6,Hotel,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
384,48.2225,11.6227,394,27,Soccer Stadium,Lounge,Sports Club,Restaurant,Sporting Goods Shop,Sports Bar,Soccer Field,Bistro,Beer Garden,Gift Shop
385,48.2225,11.6376,395,19,Outlet Store,Intersection,Italian Restaurant,Bus Stop,ATM,Optical Shop,Paper / Office Supplies Store,Palace,Outdoors & Recreation,Outdoor Supply Store
386,48.2225,11.6525,396,2,Furniture / Home Store,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
387,48.2225,11.6674,397,28,Hotel,Butcher,Gas Station,Supermarket,Café,Restaurant,Gelato Shop,Bakery,Bus Stop,Bus Line
388,48.2225,11.6823,398,28,Bakery,German Restaurant,Hotel,Trattoria/Osteria,Plaza,Light Rail Station,Gastropub,Butcher,Restaurant,Lake
389,48.2225,11.6972,399,15,Miscellaneous Shop,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
